"filing_year","tract","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,"17031050300",9,1.760,0,1,8,4,4,3461.090,4,1,1,2,0,2,6,7,1,1,0,3,5,2,5,1,0,1,0,0,0,2,2,4,2,2,3,0,0,1,0,8,0,7,0,1
2010,"17031050500",8,0.780,0,0,8,2,6,2837.500,2,1,2,2,1,1,7,6,2,1,1,3,5,3,3,0,2,0,1,0,1,2,0,6,2,0,4,0,0,2,0,8,0,6,0,2
2010,"17031050600",4,0.790,0,0,4,1,3,2007.400,1,1,1,0,1,0,4,3,1,1,0,3,1,2,1,1,0,1,0,0,0,2,0,2,2,0,1,0,0,1,1,3,1,2,0,1
2010,"17031050700",3,1.140,0,0,3,0,3,1295,0,0,2,1,0,0,3,3,0,0,0,2,1,2,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,2,1,2,1,0,0
2010,"17031050800",1,0.340,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
2010,"17031050900",2,0.540,0,0,2,0,2,2134.970,0,0,1,1,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0
2010,"17031051000",4,1.040,0,0,4,2,2,1622,2,0,2,0,0,2,2,4,0,0,0,2,2,2,2,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,1,3,1,3,0,0
2010,"17031051100",5,1.110,0,0,5,0,5,1939.160,0,0,4,0,1,1,4,5,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0
2010,"17031051200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"17031051300",6,1.810,0,0,6,1,5,886.250,1,3,1,0,1,1,5,4,2,2,0,4,2,3,1,1,1,1,1,0,0,3,0,3,2,0,2,1,0,1,0,6,0,4,0,2
2010,"17031051400",9,1.700,2,0,7,0,7,2397.050,0,3,1,2,1,0,7,7,0,0,0,6,1,6,1,0,0,0,0,0,0,5,0,2,5,0,2,0,0,0,2,5,2,5,0,0
2010,"17031060100",8,1.250,2,1,5,0,5,8405.290,0,0,1,1,3,1,4,5,0,0,0,3,2,3,2,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,1,4,1,4,0,0
2010,"17031060200",5,0.590,0,0,5,1,4,2270.880,1,0,3,1,0,1,4,4,1,0,1,2,3,2,2,0,1,0,0,0,1,2,0,3,2,0,2,0,0,1,0,5,0,4,0,1
2010,"17031060300",8,1.300,0,0,8,4,4,4091.410,4,0,1,2,1,1,7,8,0,0,0,2,6,2,6,0,0,0,0,0,0,1,3,4,1,3,4,0,0,0,0,8,0,8,0,0
2010,"17031060400",4,0.450,0,0,4,1,3,2050,1,0,2,0,1,1,3,3,1,1,0,2,2,2,1,0,1,0,1,0,0,1,0,3,1,0,2,0,0,1,1,3,1,2,0,1
2010,"17031060500",5,0.820,0,2,3,1,2,5325,1,0,0,1,1,1,2,2,1,1,0,2,1,1,1,1,0,1,0,0,0,0,0,3,0,0,2,0,0,1,0,3,0,2,0,1
2010,"17031060800",73,5.280,0,0,73,3,70,2269.020,2,2,36,28,5,2,71,67,6,5,1,32,41,29,38,3,3,3,2,0,1,12,15,46,11,15,41,1,0,5,12,61,12,55,0,6
2010,"17031060900",87,3.100,1,0,86,5,81,1960.940,5,8,41,23,9,3,83,76,10,9,1,49,37,44,32,5,5,5,4,0,1,31,7,48,29,7,40,2,0,8,17,69,16,60,1,9
2010,"17031061000",6,1.130,0,0,6,0,6,1188.080,0,2,2,1,1,0,6,6,0,0,0,2,4,2,4,0,0,0,0,0,0,1,2,3,1,2,3,0,0,0,0,6,0,6,0,0
2010,"17031061100",1,0.210,0,0,1,0,1,975,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2010,"17031061200",2,0.360,0,0,2,0,2,1950,0,1,0,1,0,0,2,0,2,2,0,1,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2
2010,"17031061500",1,0.160,0,0,1,0,1,1204.250,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2010,"17031061800",15,2.460,0,0,15,0,15,980,0,8,7,0,0,0,15,15,0,0,0,7,8,7,8,0,0,0,0,0,0,7,3,5,7,3,5,0,0,0,1,14,1,14,0,0
2010,"17031061901",26,1.530,1,0,25,1,24,1808.750,1,7,8,6,3,0,25,22,3,2,1,10,15,10,12,0,3,0,2,0,1,7,8,10,7,8,7,0,0,3,3,22,3,19,0,3
2010,"17031061902",48,2.270,0,0,48,1,47,2944.930,1,3,17,22,5,0,48,45,3,3,0,22,26,20,25,2,1,2,1,0,0,9,10,29,8,9,28,1,1,1,11,37,10,35,1,2
2010,"17031062000",17,1.490,0,0,17,0,17,1480,0,5,9,3,0,0,17,17,0,0,0,8,9,8,9,0,0,0,0,0,0,6,3,8,6,3,8,0,0,0,4,13,4,13,0,0
2010,"17031062100",11,0.950,0,0,11,2,9,1950,2,2,3,1,3,0,11,9,2,2,0,6,5,5,4,1,1,1,1,0,0,3,3,5,3,3,3,0,0,2,1,10,1,8,0,2
2010,"17031062200",3,0.360,0,0,3,0,3,650,0,2,0,0,1,1,2,3,0,0,0,1,2,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,0,3,0,0
2010,"17031062300",3,0.640,1,0,2,1,1,2350,1,0,1,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0
2010,"17031062400",2,0.490,0,0,2,1,1,1941.490,1,0,1,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0
2010,"17031062500",18,5.830,0,0,18,2,16,942,3,9,4,0,2,0,18,18,0,0,0,15,3,15,3,0,0,0,0,0,0,12,3,3,12,3,3,0,0,0,1,17,1,17,0,0
2010,"17031062600",4,1.160,0,0,4,0,4,1701.500,0,0,3,1,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,2,2,2,2,0,0
2010,"17031062700",6,0.820,0,1,5,1,4,5717.500,1,0,1,1,2,0,5,3,2,2,0,3,2,2,1,1,1,1,1,0,0,2,0,3,2,0,1,0,0,2,0,5,0,3,0,2
2010,"17031062800",7,0.790,0,0,7,3,4,3768.220,3,0,1,3,0,1,6,5,2,1,1,2,5,1,4,1,1,1,0,0,1,1,2,4,1,2,2,0,0,2,0,7,0,5,0,2
2010,"17031062900",8,0.710,0,0,8,1,7,1500,1,0,5,0,2,0,8,7,1,1,0,3,5,3,4,0,1,0,1,0,0,3,2,3,3,2,2,0,0,1,1,7,1,6,0,1
2010,"17031063000",14,0.980,0,0,14,1,13,2392,1,0,7,4,2,1,13,12,2,2,0,3,11,3,9,0,2,0,2,0,0,2,3,9,2,3,7,0,0,2,1,13,1,11,0,2
2010,"17031063100",11,1,0,0,11,1,10,1428.500,0,4,4,3,0,0,11,10,1,1,0,6,5,5,5,1,0,1,0,0,0,3,3,5,3,3,4,0,0,1,3,8,3,7,0,1
2010,"17031063200",57,1.830,0,1,56,1,55,1728.750,1,13,25,8,9,1,55,51,5,5,0,30,26,27,24,3,2,3,2,0,0,24,6,26,24,6,21,0,0,5,15,41,15,36,0,5
2010,"17031063301",14,0.910,1,1,12,2,10,3541.210,2,2,1,6,1,0,12,12,0,0,0,5,7,5,7,0,0,0,0,0,0,3,2,7,3,2,7,0,0,0,1,11,1,11,0,0
